ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta200_10_10,200×10,200,10,5,2010905246,2000000,11474,12307.5436915,212.02349881801985,13516,100000,200000,numpy_quicksort,23.84402036500001,True,10,10
Ta200_20_1,200×20,200,20,1,2020001210,2000000,12780,13580.3107,203.01800891218,14750,100000,200000,numpy_quicksort,23.214199296999823,True,10,10
Ta200_20_1,200×20,200,20,2,2020002219,2000000,12749,13580.1232975,202.974256994578,14851,100000,200000,numpy_quicksort,33.6606189019999,True,10,10
Ta200_20_1,200×20,200,20,3,2020003228,2000000,12728,13580.31318,203.3801127766005,14875,100000,200000,numpy_quicksort,31.93218986700004,True,10,10
Ta200_20_1,200×20,200,20,4,2020004237,2000000,12721,13580.299905,203.4114632957117,14766,100000,200000,numpy_quicksort,31.03348739399985,True,10,10
Ta200_20_1,200×20,200,20,5,2020005246,2000000,12804,13580.458956,203.080670240349,14652,100000,200000,numpy_quicksort,33.08183211400001,True,10,10
Ta200_20_2,200×20,200,20,1,2020101210,2000000,12957,13795.464907,207.1044521240632,14962,100000,200000,numpy_quicksort,33.35031923899987,True,10,10
Ta200_20_2,200×20,200,20,2,2020102219,2000000,12939,13795.2303655,207.2375491457504,15025,100000,200000,numpy_quicksort,29.58844609500011,True,10,10
Ta200_20_2,200×20,200,20,3,2020103228,2000000,12974,13795.646405,206.9809385308957,14950,100000,200000,numpy_quicksort,29.89077735700016,True,10,10
Ta200_20_2,200×20,200,20,4,2020104237,2000000,12896,13795.348052,207.22281410465555,14973,100000,200000,numpy_quicksort,29.808465714999784,True,10,10
Ta200_20_2,200×20,200,20,5,2020105246,2000000,12888,13795.198599,207.04400523571616,14966,100000,200000,numpy_quicksort,29.305273466000017,True,10,10
Ta200_20_3,200×20,200,20,1,2020201210,2000000,12934,13836.9279515,207.3427547854581,14959,100000,200000,numpy_quicksort,27.291984273999788,True,10,10
Ta200_20_3,200×20,200,20,2,2020202219,2000000,12944,13836.9359855,207.11735624626783,15057,100000,200000,numpy_quicksort,27.7431199130001,True,10,10
Ta200_20_3,200×20,200,20,3,2020203228,2000000,13016,13836.9284685,207.43201481633665,15088,100000,200000,numpy_quicksort,29.68058673199993,True,10,10
Ta200_20_3,200×20,200,20,4,2020204237,2000000,13011,13837.0879865,207.282531395918,15008,100000,200000,numpy_quicksort,29.241045679999843,True,10,10
Ta200_20_3,200×20,200,20,5,2020205246,2000000,12997,13837.063135,207.30636744908915,15029,100000,200000,numpy_quicksort,28.364054485,True,10,10
Ta200_20_4,200×20,200,20,1,2020301210,2000000,12912,13768.8730195,208.48489844453732,14879,100000,200000,numpy_quicksort,29.179823531999773,True,10,10
Ta200_20_4,200×20,200,20,2,2020302219,2000000,12873,13768.8929025,208.42891917133923,14944,100000,200000,numpy_quicksort,30.768408696999813,True,10,10
Ta200_20_4,200×20,200,20,3,2020303228,2000000,12912,13768.991743,208.5554596013056,14913,100000,200000,numpy_quicksort,28.15584703200011,True,10,10
Ta200_20_4,200×20,200,20,4,2020304237,2000000,12894,13768.920428,208.6893206657041,14910,100000,200000,numpy_quicksort,27.48549155499996,True,10,10
Ta200_20_4,200×20,200,20,5,2020305246,2000000,12907,13768.9831285,208.6520378325813,14962,100000,200000,numpy_quicksort,30.87306160900016,True,10,10
Ta200_20_5,200×20,200,20,1,2020401210,2000000,12872,13706.521949,206.7725566357549,14972,100000,200000,numpy_quicksort,29.442726586999925,True,10,10
Ta200_20_5,200×20,200,20,2,2020402219,2000000,12779,13706.171438,206.61823255114533,15026,100000,200000,numpy_quicksort,30.57784809499981,True,10,10
Ta200_20_5,200×20,200,20,3,2020403228,2000000,12820,13706.6076555,206.56091846958816,14996,100000,200000,numpy_quicksort,29.3992142420002,True,10,10
Ta200_20_5,200×20,200,20,4,2020404237,2000000,12838,13706.394734,206.68978688702364,14874,100000,200000,numpy_quicksort,27.95651783200037,True,10,10
Ta200_20_5,200×20,200,20,5,2020405246,2000000,12881,13706.3119245,206.88080071731923,14827,100000,200000,numpy_quicksort,33.05921509200016,True,10,10
Ta200_20_6,200×20,200,20,1,2020501210,2000000,12827,13773.6002015,213.88579417115545,15188,100000,200000,numpy_quicksort,28.87322506000009,True,10,10
Ta200_20_6,200×20,200,20,2,2020502219,2000000,12872,13773.544567,214.0183379332412,14992,100000,200000,numpy_quicksort,28.71310695200009,True,10,10
Ta200_20_6,200×20,200,20,3,2020503228,2000000,12875,13773.308143,213.7028908188992,14971,100000,200000,numpy_quicksort,30.70227440399958,True,10,10
Ta200_20_6,200×20,200,20,4,2020504237,2000000,12819,13773.3670195,213.73332501075663,14960,100000,200000,numpy_quicksort,31.26188192200016,True,10,10
Ta200_20_6,200×20,200,20,5,2020505246,2000000,12856,13773.238368,214.0828966158668,14931,100000,200000,numpy_quicksort,30.54740637499981,True,10,10
